Q7_1,Q8,Q10,Q29,Q6,,
How many hours per week did you spend outside of class? - Average,What types of assignments did this course have? Please check the appropriate boxes and provide the number/frequency/any other relevant information about each type of course work. - Selected Choice,Is there anything else prospective students should know about this course?,Discuss the instructor's teaching style. What was effective and what was not?,What fraction of classes did you attend?,Column1,Column2
0,"Readings,Reading responses/Canvas posts/etc.,Homework (on paper),Homework (online),Quizzes,Papers,Exams (in-class),Exams (take-home),Labs,Projects (individual),Projects (group),Other (please describe)",This course is a Co-op course. It is definitely the best hands course offered by Brown. You are able to work for one of the top Pharmaceutical companies in the country and learn so much.,,1,FALSE,1
0,"Labs,Projects (individual)","Nothing, it is an excellent intro course!",Everything was effective and worked very well!!!,1,FALSE,0
0,"Projects (individual),Projects (group)","I loved this course! You come in for lab twice a week and work on two projects, both related to regenerative medicine. The second project is growing stem cells and then differentiating them into heart cells, which is super cool. Class is always fun and exciting, and it's perfect as a fifth course because there's basically no work outside of class besides a couple of projects and it's 0.5 credits so it only lasts for the first half of the semester before midterms and finals get tough.",The professor is super kind and enthusiastic. You can tell she's really passionate about the material and that she's invested in the results of your cells. She's also really organized and clear about the expectations and timeline for the class. ,1,FALSE,0
0,Reading responses/Canvas posts/etc.,It is audit only and a lot of fun!,,1,FALSE,1
0,"Quizzes,Exams (in-class),Projects (group)",,He moves fast and cold calls students. ,1,1,1
0,"Readings,Papers,Exams (take-home)",,prof. arenberg needed to slow down his slides and often got on tangents that made lectures move slowly. but he was a really nice man and made a great effort to help students post-COVID. ,1,1,1
0,"Papers,Exams (in-class),Projects (group)","professor harry is the nicest person on the planet, you will learn a lot and its not super hard ",professor harry is extremely organized so he always presented the material effectively ,2-Jan,FALSE,0
0,"Readings,Reading responses/Canvas posts/etc.,Exams (in-class),Labs",This is a super fun course to learn more about space with really fun labs and generally a easy A ,"lectures and lecture capture. no slides, but reading the chapters from the book was really helpful and prepared you for all the exams. ",4-Jan,FALSE,0
0,Papers,It's very much a reading comprehension-style essay where you write down what the professor talked about in lecture. You just have to make sure that you understand the ideas very well. ,"Professor Christensen was very receptive at office hours, even during the pandemic.
",4-Jan,FALSE,0
0,"Readings,Exams (in-class),Labs",It's a great class and you will learn a lot!,I definitely preferred to wait for the lecture slides to be posted and watch the lecture capture and write directly on the slides. He says a lot of things that are important but that don't appear directly on the slides. ,4-Jan,FALSE,0
0,"Readings,Homework (on paper),Exams (in-class)",It's minimal work but good information to know,,4-Jan,FALSE,1
0,,Take it! It's super chill and laid back - great community.,"Passionate about the material, kind and helpful",4-Mar,FALSE,0
0,"Readings,Papers","its super easy and super interesting, you will actually learn a lot and probably get an A ",very chill in the best way ,4-Mar,FALSE,0
0,"Papers,Exams (take-home)","Very little work, high reward","You could tell how much Richard Arenberg loved teaching about the U.S. Congress. He was a little slow and could get side tracked, but had a lot of info to give and very instructive.",4-Mar,FALSE,0
